Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",156.368750,-153.193750,90.000000,bottom
"C2","22pF","C_0805_2012Metric",146.843750,-153.193750,270.000000,bottom
"C3","1uF","C_0805_2012Metric",146.843750,-163.512500,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",149.225000,-159.543750,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",168.275000,-160.337500,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",168.275000,-170.656250,180.000000,bottom
"C7","10uF","C_0805_2012Metric",149.225000,-169.068750,270.000000,bottom
"D1","D_Small","D_SOD-123",73.025000,-88.900000,90.000000,bottom
"D2","D_Small","D_SOD-123",92.075000,-88.900000,90.000000,bottom
"D3","D_Small","D_SOD-123",111.125000,-88.900000,90.000000,bottom
"D4","D_Small","D_SOD-123",130.175000,-88.900000,90.000000,bottom
"D5","D_Small","D_SOD-123",149.225000,-88.900000,90.000000,bottom
"D6","D_Small","D_SOD-123",168.275000,-88.900000,90.000000,bottom
"D7","D_Small","D_SOD-123",187.325000,-88.900000,90.000000,bottom
"D8","D_Small","D_SOD-123",206.375000,-88.900000,90.000000,bottom
"D9","D_Small","D_SOD-123",225.425000,-88.900000,90.000000,bottom
"D10","D_Small","D_SOD-123",244.475000,-88.900000,90.000000,bottom
"D11","D_Small","D_SOD-123",263.525000,-88.900000,90.000000,bottom
"D12","D_Small","D_SOD-123",282.575000,-88.900000,90.000000,bottom
"D13","D_Small","D_SOD-123",301.625000,-88.900000,90.000000,bottom
"D14","D_Small","D_SOD-123",330.993750,-88.900000,90.000000,bottom
"D15","D_Small","D_SOD-123",80.168750,-107.950000,90.000000,bottom
"D16","D_Small","D_SOD-123",101.600000,-107.950000,90.000000,bottom
"D17","D_Small","D_SOD-123",120.650000,-107.950000,90.000000,bottom
"D18","D_Small","D_SOD-123",139.700000,-107.950000,90.000000,bottom
"D19","D_Small","D_SOD-123",158.750000,-107.950000,90.000000,bottom
"D20","D_Small","D_SOD-123",177.800000,-107.950000,90.000000,bottom
"D21","D_Small","D_SOD-123",196.850000,-107.950000,90.000000,bottom
"D22","D_Small","D_SOD-123",215.900000,-107.950000,90.000000,bottom
"D23","D_Small","D_SOD-123",234.950000,-107.950000,90.000000,bottom
"D24","D_Small","D_SOD-123",254.000000,-107.950000,90.000000,bottom
"D25","D_Small","D_SOD-123",273.050000,-107.950000,90.000000,bottom
"D26","D_Small","D_SOD-123",292.100000,-107.950000,90.000000,bottom
"D27","D_Small","D_SOD-123",311.150000,-107.950000,90.000000,bottom
"D28","D_Small","D_SOD-123",336.550000,-107.887500,90.000000,bottom
"D29","D_Small","D_SOD-123",81.756250,-127.000000,90.000000,bottom
"D30","D_Small","D_SOD-123",106.362500,-127.000000,90.000000,bottom
"D31","D_Small","D_SOD-123",125.412500,-127.000000,90.000000,bottom
"D32","D_Small","D_SOD-123",144.462500,-127.000000,90.000000,bottom
"D33","D_Small","D_SOD-123",163.512500,-127.000000,90.000000,bottom
"D34","D_Small","D_SOD-123",182.562500,-127.000000,90.000000,bottom
