Designator,Mid X,Mid Y,Layer,Rotation
C1,156.36875,-153.19375,bottom,90
C2,146.84375,-153.19375,bottom,270
C3,146.84375,-163.5125,bottom,270
C4,149.225,-159.54375,bottom,90
C5,168.275,-160.3375,bottom,90
C6,168.275,-170.65625,bottom,180
C7,149.225,-169.06875,bottom,270
D1,73.025,-88.9,bottom,90
D2,92.075,-88.9,bottom,90
D3,111.125,-88.9,bottom,90
D4,130.175,-88.9,bottom,90
D5,149.225,-88.9,bottom,90
D6,168.275,-88.9,bottom,90
D7,187.325,-88.9,bottom,90
D8,206.375,-88.9,bottom,90
D9,225.425,-88.9,bottom,90
D10,244.475,-88.9,bottom,90
D11,263.525,-88.9,bottom,90
D12,282.575,-88.9,bottom,90
D13,301.625,-88.9,bottom,90
D14,330.99375,-88.9,bottom,90
D15,80.16875,-107.95,bottom,90
D16,101.6,-107.95,bottom,90
D17,120.65,-107.95,bottom,90
D18,139.7,-107.95,bottom,90
D19,158.75,-107.95,bottom,90
D20,177.8,-107.95,bottom,90
D21,196.85,-107.95,bottom,90
D22,215.9,-107.95,bottom,90
D23,234.95,-107.95,bottom,90
D24,254,-107.95,bottom,90
D25,273.05,-107.95,bottom,90
D26,292.1,-107.95,bottom,90
D27,311.15,-107.95,bottom,90
D28,336.55,-107.8875,bottom,90
D29,81.75625,-127,bottom,90
D30,106.3625,-127,bottom,90
D31,125.4125,-127,bottom,90
D32,144.4625,-127,bottom,90
D33,163.5125,-127,bottom,90
D34,182.5625,-127,bottom,90
D35,201.6125,-127,bottom,90
D36,220.6625,-127,bottom,90
D37,239.7125,-127,bottom,90
D38,258.7625,-127,bottom,90
D39,277.8125,-127,bottom,90
D40,296.8625,-127,bottom,90
D41,329.40625,-127,bottom,90
D42,86.51875,-146.05,bottom,90
D43,111.125,-146.05,bottom,90
D44,130.175,-146.05,bottom,90
D45,149.225,-146.05,bottom,90
D46,168.275,-146.05,bottom,90
D47,187.325,-146.05,bottom,90
D48,206.375,-146.05,bottom,90
D49,225.425,-146.05,bottom,90
D50,244.475,-146.05,bottom,90
D51,263.525,-146.05,bottom,90
D52,282.575,-146.05,bottom,90
D53,301.625,-146.05,bottom,90
D54,320.675,-146.05,bottom,90
D55,339.725,-146.05,bottom,90
D56,76.2,-165.1,bottom,90
D57,100.0125,-165.1,bottom,90
D58,123.825,-165.1,bottom,90
D59,198.4375,-165.1,bottom,90
D60,263.525,-165.1,bottom,90
D61,282.575,-165.1,bottom,90
D62,301.625,-165.1,bottom,90
D63,320.675,-165.1,bottom,90
D64,339.725,-165.1,bottom,90
F1,85.725,-133.35,bottom,90
J1,84.93125,-117.475,bottom,90
R1,146.05,-159.54375,bottom,90
R2,132.55625,-160.3375,bottom,270
R3,127.79375,-160.3375,bottom,90
R4,168.275,-168.275,bottom,0
SW1,61.11875,-130.96875,bottom,90
U1,158.75,-164.30625,bottom,0
Y1,151.60625,-153.19375,bottom,180
